ASNNumber;Номенклатура;Машина;Qty ASN;ДП/МП;Паллет №;Приоритет;Факт;Остаток;Часы;Статус;Приемка до;Месяц;Тип
DPS039790;Avaira Vitality toric (6pk);25_022;13;ДП;2;;13;0;0,0;Закрыто;;-;Сложные
DPS039790;Biofinity multifocal (3 pk);25_022;37;ДП;2;;37;0;0,0;Закрыто;;-;Сложные
DPS039790;Biofinity Toric (3 pk) (new);25_022;20;ДП;2;;20;0;0,0;Закрыто;;-;Сложные
DPS039790;Clariti 1 Day toric (30pk);25_022;5;ДП;2;;5;0;0,0;Закрыто;;-;Сложные
DPS039790;Diag Avaira Vitality toric (3pk);25_022;88;ДП;2;;88;0;0,0;Закрыто;;-;Сложные
DPS039790;Diag Biofinity Toric (1pk);25_022;17;ДП;2;;17;0;0,0;Закрыто;;-;1pk
DPS039790;WB Comfilcon A multifocal BF (3 pk);25_022;35;ДП;2;;35;0;0,0;Закрыто;;-;Сложные
DPS039790;WB Comfilcon A toric BF (3pk);25_022;24;ДП;2;;24;0;0,0;Закрыто;;-;Сложные
DPS039790;WB Fanfilcon A toric (6pk);25_022;8;ДП;2;;8;0;0,0;Закрыто;;-;Сложные
DPS039790;WB Somofilcon A toric 56% 1 Day (30pk);25_022;16;ДП;2;;16;0;0,0;Закрыто;;-;Сложные
DPS039897;Clariti 1 Day (90pk);25_022;1 560;ДП;1;;1560;0;0,0;Закрыто;;-;Сфера
DPS039910;Avaira Vitality (6pk);25_022;793;ДП;2;;793;0;0,0;Закрыто;;-;Сфера
DPS039910;Biofinity Energys (3pk);25_022;8;ДП;2;;8;0;0,0;Закрыто;;-;Сфера
DPS039910;Biofinity Toric (3 pk) (new);25_022;21;ДП;2;;21;0;0,0;Закрыто;;-;Сложные
DPS039910;Clariti 1 Day multifocal (30pk);25_022;7;ДП;2;;7;0;0,0;Закрыто;;-;Сложные
DPS039910;Clariti 1 Day toric (30pk);25_022;760;ДП;2;;760;0;0,0;Закрыто;;-;Сложные
DPS039910;Diag Biofinity Multifocal (1pk);25_022;3;ДП;2;;3;0;0,0;Закрыто;;-;1pk
DPS039910;Diag Biofinity Toric (1pk);25_022;48;ДП;2;;48;0;0,0;Закрыто;;-;1pk
DPS039910;Diag Clariti 1day (5pk);25_022;373;ДП;2;;373;0;0,0;Закрыто;;-;Сфера
DPS039910;Diag MyDay (5pk);25_022;430;ДП;2;;430;0;0,0;Закрыто;;-;Сфера
DPS039910;iWear activ astigmatism (30 pk);25_022;43;ДП;2;;43;0;0,0;Закрыто;;-;Сложные
DPS039910;MiSight 1 day (90pk);25_022;12;ДП;2;;12;0;0,0;Закрыто;;-;Сфера
DPS039910;MyDay (90pk);25_022;284;ДП;2;;284;0;0,0;Закрыто;;-;Сфера
DPS039910;MyDay Toric (30pk);25_022;577;ДП;2;;577;0;0,0;Закрыто;;-;Сложные
DPS039910;Proclear  (6pk);25_022;2 756;ДП;2;;2756;0;0,0;Закрыто;;-;Сфера
DPS039910;WB Comfilcon A toric BF (3pk);25_022;11;ДП;2;;11;0;0,0;Закрыто;;-;Сложные
DPS039910;WB Fanfilcon A toric (6pk);25_022;266;ДП;2;;266;0;0,0;Закрыто;;-;Сложные
DPS039910;WB Somofilcon A 56% 1 day (30pk);25_022;160;ДП;2;;160;0;0,0;Закрыто;;-;Сфера
DPS039910;WB Somofilcon A toric 56% 1 Day (30pk);25_022;2;ДП;2;;2;0;0,0;Закрыто;;-;Сложные
DPS039910;WB Stenfilcon A toric 54% 1 Day MD (30pk);25_022;3;ДП;2;;3;0;0,0;Закрыто;;-;Сложные
DPS039910;High Time 55 (6pk);25_022;132;ДП;2;;132;0;0,0;Закрыто;;-;Сфера
DPS039962;Avaira Vitality toric (6pk);25_022;301;ДП;3;;301;0;0,0;Закрыто;;-;Сложные
DPS039962;Proclear  (6pk);25_022;3 626;ДП;3;;3626;0;0,0;Закрыто;;-;Сфера
